CLUES,UNIDAD,REGION,MUNICIPIO,NIVEL
HGIMB004923,SAN ANDRÉS,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB004935,CAHUAZAZ DE MORELOS,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB004940,TENANGO,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB005290,CARAVANA 2 TEPEHUACAN DE GUERRERO,HUASTECA,TEPEHUACÁN DE GUERRERO,3
HGIMB003540,TLANCHINOL,HUASTECA,TLANCHINOL,1
HGIMB003552,ACAHUASCO,HUASTECA,TLANCHINOL,1
HGIMB003564,ACATIPA,HUASTECA,TLANCHINOL,1
HGIMB003576,CHICHATLA,HUASTECA,TLANCHINOL,1
HGIMB003581,CHIPOCO,HUASTECA,TLANCHINOL,1
HGIMB003593,PUEBLO HIDALGO,HUASTECA,TLANCHINOL,1
HGIMB003605,HUITEPEC,HUASTECA,TLANCHINOL,1
HGIMB003610,JALPA,HUASTECA,TLANCHINOL,1
HGIMB003622,OLOTLA,HUASTECA,TLANCHINOL,1
HGIMB003634,PILCUATLA,HUASTECA,TLANCHINOL,1
HGIMB003646,SANTA LUCIA,HUASTECA,TLANCHINOL,1
HGIMB003651,SANTA MARÍA CATZOTIPAN SANTA MARÍA TEPETZINTLA,HUASTECA,TLANCHINOL,1
HGIMB003663,TEMANGO,HUASTECA,TLANCHINOL,1
HGIMB004795,HOSPITAL INTEGRAL DE TLANCHINOL,HUASTECA,TLANCHINOL,2
HGIMB004911,SAN JOSÉ,HUASTECA,TLANCHINOL,1
HGIMB005302,CARAVANA 3 TLANCHINOL,HUASTECA,TLANCHINOL,3
HGIMB003902,ATLALCO,HUASTECA,XOCHIATIPAN,1
HGIMB003914,CHIAPA,HUASTECA,XOCHIATIPAN,1
HGIMB003926,IXTACZOQUICO,HUASTECA,XOCHIATIPAN,1
HGIMB003931,OHUATIPA,HUASTECA,XOCHIATIPAN,1
HGIMB003943,PACHIQUITLA,HUASTECA,XOCHIATIPAN,1
HGIMB005162,CARAVANA ATLAJCO,HUASTECA,XOCHIATIPAN,3
HGIMB005471,CARAVANA 4 XOCHIATIPAN,HUASTECA,XOCHIATIPAN,3
HGIMB003972,YAHUALICA,HUASTECA,YAHUALICA,1
HGIMB003984,EL ARENAL,HUASTECA,YAHUALICA,1
HGIMB003996,ATLALCO,HUASTECA,YAHUALICA,1
HGIMB004001,OXELOCO,HUASTECA,YAHUALICA,1
HGIMB004013,TETLA,HUASTECA,YAHUALICA,1
HGIMB004025,TLALCHIYAHUALICA,HUASTECA,YAHUALICA,1
HGIMB004030,XOCHITL,HUASTECA,YAHUALICA,1
HGIMB005454,CARAVANA 5 YAHUALICA,HUASTECA,YAHUALICA,3
HGSSA018151,CENTRO DE SALUD SANTA TERESA,HUASTECA,YAHUALICA,1
HGIMB000291,LA SALITRERA,IXMIQUILPAN,ALFAJAYUCAN,1
HGIMB000303,SAN FRANCISCO SACACHICHILCO,IXMIQUILPAN,ALFAJAYUCAN,1
HGIMB000315,SAN PABLO OXTOTIPAN,IXMIQUILPAN,ALFAJAYUCAN,1
HGIMB000320,SANTA MARÍA XIGUI,IXMIQUILPAN,ALFAJAYUCAN,1
HGIMB004870,ALFAJAYUCAN,IXMIQUILPAN,ALFAJAYUCAN,1
HGSSA018064,CARAVANA 1 ALFAJAYUCAN,IXMIQUILPAN,ALFAJAYUCAN,3
HGIMB000612,CARDONAL,IXMIQUILPAN,CARDONAL,1
HGIMB000624,EL BINGU,IXMIQUILPAN,CARDONAL,1
HGIMB000636,EL BUENA,IXMIQUILPAN,CARDONAL,1
HGIMB000641,CIENEGUILLA,IXMIQUILPAN,CARDONAL,1
HGIMB000653,EL DECA,IXMIQUILPAN,CARDONAL,1
HGIMB000665,LA MESA,IXMIQUILPAN,CARDONAL,1
HGIMB000670,POZUELOS,IXMIQUILPAN,CARDONAL,1
HGIMB000682,SAN ANDRÉS DABOXTHA,IXMIQUILPAN,CARDONAL,1
HGIMB000694,SAN ANTONIO SABANILLAS,IXMIQUILPAN,CARDONAL,1
HGIMB000706,SAN CRISTÓBAL,IXMIQUILPAN,CARDONAL,1
HGIMB000711,SAN MIGUEL TLAZINTLA,IXMIQUILPAN,CARDONAL,1
HGIMB000723,SAN MIGUEL JIGUI,IXMIQUILPAN,CARDONAL,1
HGIMB000735,SANTA TERESA DABOXTHA,IXMIQUILPAN,CARDONAL,1
HGIMB000740,SANTUARIO MAPETHÉ,IXMIQUILPAN,CARDONAL,1
HGIMB000752,EL SAUZ JUXMAYE,IXMIQUILPAN,CARDONAL,1
HGIMB000764,EL TIXQUI,IXMIQUILPAN,CARDONAL,1
HGIMB005430,CARAVANA 1 CARDONAL,IXMIQUILPAN,CARDONAL,3
HGIMB000950,CHILCUAUTLA,IXMIQUILPAN,CHILCUAUTLA,1
HGIMB000962,EL DADHO,IXMIQUILPAN,CHILCUAUTLA,1
HGIMB000974,HUITEXCALCO DE MORELOS,IXMIQUILPAN,CHILCUAUTLA,1
HGIMB000986,SANTA ANA BATHA,IXMIQUILPAN,CHILCUAUTLA,1
HGIMB000991,TEXCATEPEC,IXMIQUILPAN,CHILCUAUTLA,1
HGIMB004240,BETHÍ,IXMIQUILPAN,CHILCUAUTLA,1
HGIMB001394,HOSPITAL GENERAL HUICHAPAN,IXMIQUILPAN,HUICHAPAN,2
HGIMB001406,HUICHAPAN,IXMIQUILPAN,HUICHAPAN,1
HGIMB001411,DANTZIBOJAY,IXMIQUILPAN,HUICHAPAN,1
HGIMB001423,LLANO LARGO,IXMIQUILPAN,HUICHAPAN,1
HGIMB001435,MAMITHI,IXMIQUILPAN,HUICHAPAN,1
HGIMB001440,MANEY,IXMIQUILPAN,HUICHAPAN,1
HGIMB001452,SAN JOSÉ ATLAN,IXMIQUILPAN,HUICHAPAN,1
HGIMB001464,TAGUI,IXMIQUILPAN,HUICHAPAN,1
HGIMB001476,TLAXCALILLA,IXMIQUILPAN,HUICHAPAN,1
HGIMB005401,CARAVANA 3 TECOZAUTLA,IXMIQUILPAN,HUICHAPAN,3
HGIMB005413,CARAVANA 5 TECOZAUTLA,IXMIQUILPAN,HUICHAPAN,3
HGIMB005425,CARAVANA 2 NOPALA DE VILLAGRÁN,IXMIQUILPAN,HUICHAPAN,3
HGIMB001481,HOSPITAL GENERAL DEL VALLE DEL MEZQUITAL IXMIQUILPAN,IXMIQUILPAN,IXMIQUILPAN,2
HGIMB001493,IXMIQUILPAN,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001505,EL ALBERTO,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001510,CUESTA COLORADA,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001522,EL DEFAY,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001534,DEXTHI SAN JUANICO,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001546,DIOS PADRE,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001551,EL ESPIRITU,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001563,IGNACIO LÓPEZ RAYON,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001575,JULIÁN VILLAGRAN,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001580,LA LAGUNITA,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001592,MAGUEY BLANCO,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001604,ORIZABITA,IXMIQUILPAN,IXMIQUILPAN,1
HGIMB001616,PANALES,IXMIQUILPAN,IXMIQUILPAN,1
